scoring_method,dataset,top_k_acc,ms2scorer,k
LC-MS$^2$Struct (3D),LQB_000,89.55208952267776,MetFrag,20
Only-MS$^2$,LU_000,53.97840455951263,MetFrag,20
LC-MS$^2$Struct (2D),LU_000,60.91359620771385,MetFrag,20
LC-MS$^2$Struct (3D),LU_000,59.51303598362421,MetFrag,20
Only-MS$^2$,LU_001,51.30157484896935,MetFrag,20
LC-MS$^2$Struct (2D),LU_001,57.28095433977788,MetFrag,20
LC-MS$^2$Struct (3D),LU_001,58.17564788153024,MetFrag,20
Only-MS$^2$,NA_003,37.25953273679763,MetFrag,20
LC-MS$^2$Struct (2D),NA_003,41.733333333333334,MetFrag,20
LC-MS$^2$Struct (3D),NA_003,45.46666666666667,MetFrag,20
Only-MS$^2$,PR_000,57.14956502671347,MetFrag,20
LC-MS$^2$Struct (2D),PR_000,63.84173669467787,MetFrag,20
LC-MS$^2$Struct (3D),PR_000,71.07282913165265,MetFrag,20
Only-MS$^2$,PR_002,43.52156455617629,MetFrag,20
LC-MS$^2$Struct (2D),PR_002,50.17429193899782,MetFrag,20
LC-MS$^2$Struct (3D),PR_002,56.31808278867103,MetFrag,20
Only-MS$^2$,RP_000,32.11249246544531,MetFrag,20
LC-MS$^2$Struct (2D),RP_000,44.92753623188406,MetFrag,20
LC-MS$^2$Struct (3D),RP_000,47.82608695652175,MetFrag,20
Only-MS$^2$,RP_001,42.00991325898389,MetFrag,20
LC-MS$^2$Struct (2D),RP_001,49.06666666666667,MetFrag,20
LC-MS$^2$Struct (3D),RP_001,54.666666666666664,MetFrag,20
Only-MS$^2$,SM_000,51.206253201440695,MetFrag,20
LC-MS$^2$Struct (2D),SM_000,60.666666666666664,MetFrag,20
LC-MS$^2$Struct (3D),SM_000,60.266666666666666,MetFrag,20
Only-MS$^2$,SM_001,50.094886793364516,MetFrag,20
LC-MS$^2$Struct (2D),SM_001,60.224089635854334,MetFrag,20
LC-MS$^2$Struct (3D),SM_001,60.50420168067227,MetFrag,20
Only-MS$^2$,UF_002,34.002019327878706,MetFrag,20
LC-MS$^2$Struct (2D),UF_002,50.0,MetFrag,20
LC-MS$^2$Struct (3D),UF_002,49.93333333333333,MetFrag,20
Only-MS$^2$,UF_003,34.18345431905846,MetFrag,20
LC-MS$^2$Struct (2D),UF_003,46.46666666666667,MetFrag,20
LC-MS$^2$Struct (3D),UF_003,47.4,MetFrag,20
Only-MS$^2$,UT_000,49.52683784804799,MetFrag,20
LC-MS$^2$Struct (2D),UT_000,53.89567823240205,MetFrag,20
LC-MS$^2$Struct (3D),UT_000,64.48368106386975,MetFrag,20
Only-MS$^2$,AVG.,46.95864892187336,MetFrag,20
LC-MS$^2$Struct (2D),AVG.,55.580149448512145,MetFrag,20
LC-MS$^2$Struct (3D),AVG.,58.274239089775094,MetFrag,20
Only-MS$^2$,AC_003,27.2,SIRIUS,1
LC-MS$^2$Struct (2D),AC_003,29.466666666666665,SIRIUS,1
LC-MS$^2$Struct (3D),AC_003,31.466666666666665,SIRIUS,1
Only-MS$^2$,AU_000,30.355555555555558,SIRIUS,1
LC-MS$^2$Struct (2D),AU_000,30.933333333333334,SIRIUS,1
LC-MS$^2$Struct (3D),AU_000,31.533333333333335,SIRIUS,1
Only-MS$^2$,AU_002,41.732804232804234,SIRIUS,1
LC-MS$^2$Struct (2D),AU_002,41.53314365578517,SIRIUS,1
LC-MS$^2$Struct (3D),AU_002,41.934960567036036,SIRIUS,1
